2023-06-15 21:52:07.537 INFO  [main] c.j.s.SwiftwheelsApplication - Starting SwiftwheelsApplication using Java 11.0.19 on kubuntu with PID 57198 (/home/jimmy/projects/ownprojects/swiftwheels/backend/target/classes started by jimmy in /home/jimmy/projects/ownprojects/swiftwheels/backend)
2023-06-15 21:52:07.538 INFO  [main] c.j.s.SwiftwheelsApplication - No active profile set, falling back to 1 default profile: "default"
2023-06-15 21:52:07.539 DEBUG [main] o.s.boot.SpringApplication - Loading source class com.jimmy.swiftwheels.SwiftwheelsApplication
2023-06-15 21:52:07.545 DEBUG [background-preinit] org.jboss.logging - Logging Provider: org.jboss.logging.Log4j2LoggerProvider
2023-06-15 21:52:07.546 INFO  [background-preinit] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2023-06-15 21:52:07.550 DEBUG [background-preinit] o.h.v.i.x.config.ValidationXmlParser - Trying to load META-INF/validation.xml for XML based Validator configuration.
2023-06-15 21:52:07.551 DEBUG [background-preinit] o.h.v.i.x.c.ResourceLoaderHelper - Trying to load META-INF/validation.xml via TCCL
2023-06-15 21:52:07.551 DEBUG [background-preinit] o.h.v.i.x.c.ResourceLoaderHelper - Trying to load META-INF/validation.xml via Hibernate Validator's class loader
2023-06-15 21:52:07.552 DEBUG [background-preinit] o.h.v.i.x.config.ValidationXmlParser - No META-INF/validation.xml found. Using annotation based configuration only.
2023-06-15 21:52:07.556 DEBUG [background-preinit] o.h.v.i.e.r.TraversableResolvers - Found javax.persistence.Persistence on classpath containing 'getPersistenceUtil'. Assuming JPA 2 environment. Trying to instantiate JPA aware TraversableResolver
2023-06-15 21:52:07.557 DEBUG [background-preinit] o.h.v.i.e.r.TraversableResolvers - Instantiated JPA aware TraversableResolver of type org.hibernate.validator.internal.engine.resolver.JPATraversableResolver.
2023-06-15 21:52:07.570 DEBUG [background-preinit] o.h.v.m.ResourceBundleMessageInterpolator - Loaded expression factory via original TCCL
2023-06-15 21:52:07.573 DEBUG [main] o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@704deff2
2023-06-15 21:52:07.584 DEBUG [main] o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2023-06-15 21:52:07.594 DEBUG [main] o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
2023-06-15 21:52:07.625 DEBUG [background-preinit] o.h.v.i.e.ValidatorFactoryConfigurationHelper - HV000252: Using org.hibernate.validator.internal.engine.DefaultPropertyNodeNameProvider as property node name provider.
2023-06-15 21:52:07.629 DEBUG [background-preinit] o.h.v.i.e.ValidatorFactoryConfigurationHelper - HV000234: Using org.hibernate.validator.messageinterpolation.ResourceBundleMessageInterpolator as ValidatorFactory-scoped message interpolator.
